TOA5,Daylight Savings,CR1000.Std.31.03,,,,,,
TIMESTAMP,ADJUSTMENT,Q_102_litsec_Avg,,Sample_Count(2),Total volume (L),,,
TS,,L/S,Q,Count,,Q,,Vol 
,,Avg,L/Min,Smp,,sample point,sample number,
3/11/20 12:55,3/11/20 13:55,0,0,0,0,#N/A,#N/A,#N/A
3/11/20 13:00,3/11/20 14:00,0,0,0,0,#N/A,#N/A,#N/A
3/11/20 13:05,3/11/20 14:05,0.001666667,0.10000002,0,0.5000001,#N/A,#N/A,#N/A
3/11/20 13:10,3/11/20 14:10,0,0,0,0.5000001,#N/A,#N/A,#N/A
3/11/20 13:15,3/11/20 14:15,0,0,0,0.5000001,#N/A,#N/A,#N/A
3/11/20 13:20,3/11/20 14:20,0,0,0,0.5000001,#N/A,#N/A,#N/A
3/11/20 13:25,3/11/20 14:25,0,0,0,0.5000001,#N/A,#N/A,#N/A
3/11/20 13:30,3/11/20 14:30,0,0,0,0.5000001,#N/A,#N/A,#N/A
3/11/20 13:35,3/11/20 14:35,0,0,0,0.5000001,#N/A,#N/A,#N/A
3/11/20 13:40,3/11/20 14:40,0.001666667,0.10000002,0,1.0000002,#N/A,#N/A,#N/A
3/11/20 13:45,3/11/20 14:45,0,0,0,1.0000002,#N/A,#N/A,#N/A
3/11/20 13:50,3/11/20 14:50,0,0,0,1.0000002,#N/A,#N/A,#N/A
3/11/20 13:55,3/11/20 14:55,0,0,0,1.0000002,#N/A,#N/A,#N/A
3/11/20 14:00,3/11/20 15:00,0,0,0,1.0000002,#N/A,#N/A,#N/A
3/11/20 14:05,3/11/20 15:05,0,0,0,1.0000002,#N/A,#N/A,#N/A
3/11/20 14:10,3/11/20 15:10,0,0,0,1.0000002,#N/A,#N/A,#N/A
3/11/20 14:15,3/11/20 15:15,0.001666667,0.10000002,0,1.5000003,#N/A,#N/A,#N/A
3/11/20 14:20,3/11/20 15:20,0,0,0,1.5000003,#N/A,#N/A,#N/A
3/11/20 14:25,3/11/20 15:25,0,0,0,1.5000003,#N/A,#N/A,#N/A
3/11/20 14:30,3/11/20 15:30,0,0,0,1.5000003,#N/A,#N/A,#N/A
3/11/20 14:35,3/11/20 15:35,0,0,0,1.5000003,#N/A,#N/A,#N/A
3/11/20 14:40,3/11/20 15:40,0,0,0,1.5000003,#N/A,#N/A,#N/A
3/11/20 14:45,3/11/20 15:45,0.001666667,0.10000002,0,2.0000004,#N/A,#N/A,#N/A
3/11/20 14:50,3/11/20 15:50,0.001666667,0.10000002,0,2.5000005,#N/A,#N/A,2.5000005
3/11/20 14:55,3/11/20 15:55,0.003333333,0.19999998,1,3.5000004,0.19999998,1,#N/A
3/11/20 15:00,3/11/20 16:00,0.003333333,0.19999998,1,4.5000003,#N/A,#N/A,#N/A
3/11/20 15:05,3/11/20 16:05,0.003333333,0.19999998,1,5.5000002,#N/A,#N/A,5.5000002
3/11/20 15:10,3/11/20 16:10,0.005,0.3,2,7.0000002,0.3,2,#N/A
3/11/20 15:15,3/11/20 16:15,0.005,0.3,2,8.5000002,#N/A,#N/A,#N/A
3/11/20 15:20,3/11/20 16:20,0.005,0.3,2,10.0000002,#N/A,#N/A,10.0000002
3/11/20 15:25,3/11/20 16:25,0.008333334,0.50000004,3,12.5000004,0.50000004,3,12.5000004
3/11/20 15:30,3/11/20 16:30,0.006666667,0.40000002,4,14.5000005,0.40000002,4,#N/A
3/11/20 15:35,3/11/20 16:35,0.008333334,0.50000004,4,17.0000007,#N/A,#N/A,17.0000007
3/11/20 15:40,3/11/20 16:40,0.008333334,0.50000004,5,19.5000009,0.50000004,5,19.5000009
3/11/20 15:45,3/11/20 16:45,0.006666667,0.40000002,6,21.500001,0.40000002,6,#N/A
3/11/20 15:50,3/11/20 16:50,0.008333334,0.50000004,6,24.0000012,#N/A,#N/A,24.0000012
3/11/20 15:55,3/11/20 16:55,0.008333334,0.50000004,7,26.5000014,0.50000004,7,26.5000014
3/11/20 16:00,3/11/20 17:00,0.008333334,0.50000004,8,29.0000016,0.50000004,8,29.0000016
