TOA5,Daylight Savings,CPU:Station3  rain garden 09-11-19.CR1,,,,,,
TIMESTAMP,ADJUSTMENT,Q_103_litsec_Avg,,Sample_Count(3),Total Volume (L),,,
TS,,L/S,Q,Count,,Q,,Vol 
,,Avg,L/min,Smp,,sample point,sample number,
3/11/20 12:55,3/11/20 13:55,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:00,3/11/20 14:00,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:05,3/11/20 14:05,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:10,3/11/20 14:10,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:15,3/11/20 14:15,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:20,3/11/20 14:20,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:25,3/11/20 14:25,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:30,3/11/20 14:30,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:35,3/11/20 14:35,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:40,3/11/20 14:40,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:45,3/11/20 14:45,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:50,3/11/20 14:50,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 13:55,3/11/20 14:55,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:00,3/11/20 15:00,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:05,3/11/20 15:05,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:10,3/11/20 15:10,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:15,3/11/20 15:15,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:20,3/11/20 15:20,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:25,3/11/20 15:25,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:30,3/11/20 15:30,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:35,3/11/20 15:35,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:40,3/11/20 15:40,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:45,3/11/20 15:45,0,0,0,0.00,#N/A,#N/A,#N/A
3/11/20 14:50,3/11/20 15:50,0,0,0,0.00,#N/A,#N/A,#N/A
