TOA5,Daylight Savings,1865,,,,,,
TIMESTAMP,ADJUSTMENT,Q_104_litsec_Avg,,Sample_Count(4),Total Volume (L),,,
TS,,L/S,Q,Count,,Q,,Vol 
,,Avg,L/min,Smp,,sample point,sample number,
3/11/20 12:55,3/11/20 13:55,0.001666667,0.10000002,0,0.50,#N/A,#N/A,#N/A
3/11/20 13:00,3/11/20 14:00,0.001666667,0.10000002,0,1.00,#N/A,#N/A,#N/A
3/11/20 13:05,3/11/20 14:05,0.001666667,0.10000002,0,1.50,#N/A,#N/A,#N/A
3/11/20 13:10,3/11/20 14:10,0.001666667,0.10000002,0,2.00,#N/A,#N/A,#N/A
3/11/20 13:15,3/11/20 14:15,0.001666667,0.10000002,0,2.50,#N/A,#N/A,#N/A
3/11/20 13:20,3/11/20 14:20,0.003333333,0.19999998,0,3.50,#N/A,#N/A,#N/A
3/11/20 13:25,3/11/20 14:25,0.001666667,0.10000002,0,4.00,#N/A,#N/A,#N/A
3/11/20 13:30,3/11/20 14:30,0.001666667,0.10000002,0,4.50,#N/A,#N/A,#N/A
3/11/20 13:35,3/11/20 14:35,0.001666667,0.10000002,0,5.00,#N/A,#N/A,#N/A
3/11/20 13:40,3/11/20 14:40,0.001666667,0.10000002,0,5.50,#N/A,#N/A,#N/A
3/11/20 13:45,3/11/20 14:45,0.003333333,0.19999998,0,6.50,#N/A,#N/A,#N/A
3/11/20 13:50,3/11/20 14:50,0.001666667,0.10000002,0,7.00,#N/A,#N/A,#N/A
3/11/20 13:55,3/11/20 14:55,0.001666667,0.10000002,0,7.50,#N/A,#N/A,#N/A
3/11/20 14:00,3/11/20 15:00,0.003333333,0.19999998,0,8.50,#N/A,#N/A,#N/A
3/11/20 14:05,3/11/20 15:05,0.001666667,0.10000002,0,9.00,#N/A,#N/A,#N/A
3/11/20 14:10,3/11/20 15:10,0.003333333,0.19999998,0,10.00,#N/A,#N/A,#N/A
3/11/20 14:15,3/11/20 15:15,0.001666667,0.10000002,0,10.50,#N/A,#N/A,#N/A
3/11/20 14:20,3/11/20 15:20,0.003333333,0.19999998,0,11.50,#N/A,#N/A,#N/A
3/11/20 14:25,3/11/20 15:25,0.001666667,0.10000002,0,12.00,#N/A,#N/A,12.0000009
3/11/20 14:30,3/11/20 15:30,0.003333333,0.19999998,1,13.00,0.19999998,1,#N/A
3/11/20 14:35,3/11/20 15:35,0.001666667,0.10000002,1,13.50,#N/A,#N/A,#N/A
3/11/20 14:40,3/11/20 15:40,0.003333333,0.19999998,1,14.50,#N/A,#N/A,#N/A
3/11/20 14:45,3/11/20 15:45,0.003333333,0.19999998,1,15.50,#N/A,#N/A,#N/A
3/11/20 14:50,3/11/20 15:50,0.005,0.3,1,17.00,#N/A,#N/A,#N/A
