TOA5,Daylight Savings,,,,,,,
TIMESTAMP,ADJUSTMENT,Q_303_litsec_Avg,,Sample_Count(11),,Total Volume (L),,
TS,,L/S,Q,Count,,Q,,Vol 
,,Avg,L/min,Smp,,sample point,sample number,
3/11/20 12:55,3/11/20 13:55,0.006666667,0.40000002,0,2.00,#N/A,#N/A,#N/A
3/11/20 13:00,3/11/20 14:00,0.005,0.3,0,3.50,#N/A,#N/A,#N/A
3/11/20 13:05,3/11/20 14:05,0.006666667,0.40000002,0,5.50,#N/A,#N/A,#N/A
3/11/20 13:10,3/11/20 14:10,0.006666667,0.40000002,0,7.50,#N/A,#N/A,#N/A
3/11/20 13:15,3/11/20 14:15,0.005,0.3,0,9.00,#N/A,#N/A,#N/A
3/11/20 13:20,3/11/20 14:20,0.006666667,0.40000002,0,11.00,#N/A,#N/A,11.0000004
3/11/20 13:25,3/11/20 14:25,0.006666667,0.40000002,1,13.00,0.40000002,1,#N/A
3/11/20 13:30,3/11/20 14:30,0.005,0.3,1,14.50,#N/A,#N/A,#N/A
3/11/20 13:35,3/11/20 14:35,0.006666667,0.40000002,1,16.50,#N/A,#N/A,#N/A
3/11/20 13:40,3/11/20 14:40,0.006666667,0.40000002,1,18.50,#N/A,#N/A,#N/A
3/11/20 13:45,3/11/20 14:45,0.006666667,0.40000002,1,20.50,#N/A,#N/A,20.5000008
3/11/20 13:50,3/11/20 14:50,0.006666667,0.40000002,2,22.50,0.40000002,2,#N/A
3/11/20 13:55,3/11/20 14:55,0.006666667,0.40000002,2,24.50,#N/A,#N/A,#N/A
3/11/20 14:00,3/11/20 15:00,0.006666667,0.40000002,2,26.50,#N/A,#N/A,#N/A
3/11/20 14:05,3/11/20 15:05,0.005,0.3,2,28.00,#N/A,#N/A,#N/A
3/11/20 14:10,3/11/20 15:10,0.006666667,0.40000002,2,30.00,#N/A,#N/A,#N/A
3/11/20 14:15,3/11/20 15:15,0.006666667,0.40000002,2,32.00,#N/A,#N/A,32.0000013
3/11/20 14:20,3/11/20 15:20,0.006666667,0.40000002,3,34.00,0.40000002,3,#N/A
3/11/20 14:25,3/11/20 15:25,0.006666667,0.40000002,3,36.00,#N/A,#N/A,#N/A
3/11/20 14:30,3/11/20 15:30,0.006666667,0.40000002,3,38.00,#N/A,#N/A,#N/A
3/11/20 14:35,3/11/20 15:35,0.006666667,0.40000002,3,40.00,#N/A,#N/A,#N/A
3/11/20 14:40,3/11/20 15:40,0.006666667,0.40000002,3,42.00,#N/A,#N/A,42.0000018
3/11/20 14:45,3/11/20 15:45,0.008333334,0.50000004,4,44.50,0.50000004,4,#N/A
3/11/20 14:50,3/11/20 15:50,0.008333334,0.50000004,4,47.00,#N/A,#N/A,#N/A
3/11/20 14:55,3/11/20 15:55,0.008333334,0.50000004,4,49.50,#N/A,#N/A,#N/A
3/11/20 15:00,3/11/20 16:00,0.01,0.6,4,52.50,#N/A,#N/A,52.5000024
3/11/20 15:05,3/11/20 16:05,0.008333334,0.50000004,5,55.00,0.50000004,5,#N/A
3/11/20 15:10,3/11/20 16:10,0.01,0.6,5,58.00,#N/A,#N/A,#N/A
3/11/20 15:15,3/11/20 16:15,0.01,0.6,5,61.00,#N/A,#N/A,#N/A
3/11/20 15:20,3/11/20 16:20,0.01166667,0.7000002,5,64.50,#N/A,#N/A,64.5000036
3/11/20 15:25,3/11/20 16:25,0.01166667,0.7000002,6,68.00,0.7000002,6,#N/A
3/11/20 15:30,3/11/20 16:30,0.01333333,0.7999998,6,72.00,#N/A,#N/A,#N/A
3/11/20 15:35,3/11/20 16:35,0.01333333,0.7999998,6,76.00,#N/A,#N/A,76.0000026
3/11/20 15:40,3/11/20 16:40,0.01333333,0.7999998,7,80.00,0.7999998,7,#N/A
3/11/20 15:45,3/11/20 16:45,0.01333333,0.7999998,7,84.00,#N/A,#N/A,#N/A
3/11/20 15:50,3/11/20 16:50,0.01333333,0.7999998,7,88.00,#N/A,#N/A,87.9999996
3/11/20 15:55,3/11/20 16:55,0.015,0.9,8,92.50,0.9,8,#N/A
3/11/20 16:00,3/11/20 17:00,0.01666667,1.0000002,8,97.50,#N/A,#N/A,97.5000006
3/11/20 16:05,3/11/20 17:05,0.01833333,1.0999998,9,103.00,1.0999998,9,#N/A
3/11/20 16:10,3/11/20 17:10,0.01833333,1.0999998,9,108.50,#N/A,#N/A,108.4999986
