Date/Time,Actual time (daylight savings adj),Q_303_litsec_Avg,Q (L/min),Sample_Count(303),Total Volume (L),sample point,Sample number,Vol 
5/19/20 12:55,5/19/20 13:55,0.005,0.3,0,1.5,#N/A,#N/A,#N/A
5/19/20 13:00,5/19/20 14:00,0.005,0.3,0,2.4999999,#N/A,#N/A,#N/A
5/19/20 13:05,5/19/20 14:05,0.003333333,0.19999998,0,3.9999999,#N/A,#N/A,#N/A
5/19/20 13:10,5/19/20 14:10,0.005,0.3,0,5.4999999,#N/A,#N/A,#N/A
5/19/20 13:15,5/19/20 14:15,0.003333333,0.19999998,0,6.9999999,#N/A,#N/A,#N/A
5/19/20 13:20,5/19/20 14:20,0.005,0.3,0,8.4999999,#N/A,#N/A,#N/A
5/19/20 13:25,5/19/20 14:25,0.005,0.3,0,10.5,#N/A,#N/A,#N/A
5/19/20 13:30,5/19/20 14:30,0.005,0.3,0,12,#N/A,#N/A,#N/A
5/19/20 13:35,5/19/20 14:35,0.005,0.3,0,14.0000001,#N/A,#N/A,#N/A
5/19/20 13:40,5/19/20 14:40,0.006666667,0.40000002,0,16.0000002,#N/A,#N/A,#N/A
5/19/20 13:45,5/19/20 14:45,0.005,0.3,0,18.5000004,#N/A,#N/A,#N/A
5/19/20 13:50,5/19/20 14:50,0.006666667,0.40000002,0,21.5000004,#N/A,#N/A,#N/A
5/19/20 13:55,5/19/20 14:55,0.006666667,0.40000002,0,25.0000014,#N/A,#N/A,#N/A
5/19/20 14:00,5/19/20 15:00,0.008333334,0.50000004,0,28.0000014,#N/A,#N/A,#N/A
5/19/20 14:05,5/19/20 15:05,0.01,0.6,0,32.0000004,#N/A,#N/A,#N/A
5/19/20 14:10,5/19/20 15:10,0.01166667,0.7000002,0,35.5000014,#N/A,#N/A,#N/A
5/19/20 14:15,5/19/20 15:15,0.01,0.6,0,40.0000014,#N/A,#N/A,#N/A
5/19/20 14:20,5/19/20 15:20,0.01333333,0.7999998,0,45.0000024,#N/A,#N/A,#N/A
5/19/20 14:25,5/19/20 15:25,0.01166667,0.7000002,0,51.0000024,#N/A,#N/A,#N/A
5/19/20 14:30,5/19/20 15:30,0.015,0.9,0,58.0000014,#N/A,#N/A,#N/A
5/19/20 14:35,5/19/20 15:35,0.01666667,1.0000002,0,67.0000014,#N/A,#N/A,#N/A
5/19/20 14:40,5/19/20 15:40,0.02,1.2,0,76.0000014,#N/A,#N/A,#N/A
5/19/20 14:45,5/19/20 15:45,0.02333333,1.3999998,0,85.0000014,#N/A,#N/A,#N/A
5/19/20 14:50,5/19/20 15:50,0.03,1.8,0,94.5000024,#N/A,#N/A,#N/A
5/19/20 14:55,5/19/20 15:55,0.03,1.8,0,104.5000044,#N/A,#N/A,#N/A
5/19/20 15:00,5/19/20 16:00,0.03,1.8,0,115.5000054,#N/A,#N/A,#N/A
5/19/20 15:05,5/19/20 16:05,0.03166667,1.9000002,0,127.5000054,#N/A,#N/A,#N/A
5/19/20 15:10,5/19/20 16:10,0.03333334,2.0000004,0,140.0000064,#N/A,#N/A,#N/A
5/19/20 15:15,5/19/20 16:15,0.03666667,2.2000002,0,153.5000064,#N/A,#N/A,#N/A
5/19/20 15:20,5/19/20 16:20,0.04,2.4,0,167.5000074,#N/A,#N/A,#N/A
5/19/20 15:25,5/19/20 16:25,0.04166667,2.5000002,0,181.5000084,#N/A,#N/A,#N/A
5/19/20 15:30,5/19/20 16:30,0.045,2.7,0,195.0000084,#N/A,#N/A,#N/A
5/19/20 15:35,5/19/20 16:35,0.04666667,2.8000002,0,208.5000084,#N/A,#N/A,#N/A
5/19/20 15:40,5/19/20 16:40,0.04666667,2.8000002,0,223.0000074,#N/A,#N/A,#N/A
5/19/20 15:45,5/19/20 16:45,0.045,2.7,0,239.0000064,#N/A,#N/A,#N/A
5/19/20 15:50,5/19/20 16:50,0.045,2.7,0,255.0000054,#N/A,#N/A,#N/A
