TOA5,Daylight Savings,,,,,,,
TIMESTAMP,ADJUSTMENT,Q_402_litsec_Avg,,Sample_Count(14),Total Volume (L),,,
TS,,L/S,Q,Count,,Q,,Vol 
,,Avg,L/min,Smp,,sample point,sample number,
3/11/20 12:55,3/11/20 13:55,0.001666667,0.10000002,0,0.50,#N/A,#N/A,#N/A
3/11/20 13:00,3/11/20 14:00,0.003333333,0.19999998,0,1.50,#N/A,#N/A,#N/A
3/11/20 13:05,3/11/20 14:05,0.003333333,0.19999998,0,2.50,#N/A,#N/A,#N/A
3/11/20 13:10,3/11/20 14:10,0.003333333,0.19999998,0,3.50,#N/A,#N/A,#N/A
3/11/20 13:15,3/11/20 14:15,0.003333333,0.19999998,0,4.50,#N/A,#N/A,#N/A
3/11/20 13:20,3/11/20 14:20,0.003333333,0.19999998,0,5.50,#N/A,#N/A,#N/A
3/11/20 13:25,3/11/20 14:25,0.005,0.3,0,7.00,#N/A,#N/A,#N/A
3/11/20 13:30,3/11/20 14:30,0.005,0.3,0,8.50,#N/A,#N/A,#N/A
3/11/20 13:35,3/11/20 14:35,0.006666667,0.40000002,0,10.50,#N/A,#N/A,#N/A
3/11/20 13:40,3/11/20 14:40,0.006666667,0.40000002,0,12.50,#N/A,#N/A,#N/A
3/11/20 13:45,3/11/20 14:45,0.006666667,0.40000002,0,14.50,#N/A,#N/A,#N/A
3/11/20 13:50,3/11/20 14:50,0.005,0.3,0,16.00,#N/A,#N/A,#N/A
3/11/20 13:55,3/11/20 14:55,0.005,0.3,0,17.50,#N/A,#N/A,#N/A
3/11/20 14:00,3/11/20 15:00,0.005,0.3,0,19.00,#N/A,#N/A,#N/A
3/11/20 14:05,3/11/20 15:05,0.003333333,0.19999998,0,20.00,#N/A,#N/A,#N/A
3/11/20 14:10,3/11/20 15:10,0.003333333,0.19999998,0,21.00,#N/A,#N/A,#N/A
3/11/20 14:15,3/11/20 15:15,0.005,0.3,0,22.50,#N/A,#N/A,#N/A
3/11/20 14:20,3/11/20 15:20,0.005,0.3,0,24.00,#N/A,#N/A,#N/A
3/11/20 14:25,3/11/20 15:25,0.003333333,0.19999998,0,25.00,#N/A,#N/A,#N/A
3/11/20 14:30,3/11/20 15:30,0.003333333,0.19999998,0,26.00,#N/A,#N/A,#N/A
3/11/20 14:35,3/11/20 15:35,0.005,0.3,0,27.50,#N/A,#N/A,#N/A
3/11/20 14:40,3/11/20 15:40,0.008333334,0.50000004,0,30.00,#N/A,#N/A,#N/A
3/11/20 14:45,3/11/20 15:45,0.01166667,0.7000002,0,33.50,#N/A,#N/A,#N/A
3/11/20 14:50,3/11/20 15:50,0.015,0.9,0,38.00,#N/A,#N/A,#N/A
3/11/20 14:55,3/11/20 15:55,0.01333333,0.7999998,0,42.00,#N/A,#N/A,#N/A
3/11/20 15:00,3/11/20 16:00,0.01333333,0.7999998,0,46.00,#N/A,#N/A,#N/A
3/11/20 15:05,3/11/20 16:05,0.01166667,0.7000002,0,49.50,#N/A,#N/A,#N/A
3/11/20 15:10,3/11/20 16:10,0.008333334,0.50000004,0,52.00,#N/A,#N/A,#N/A
3/11/20 15:15,3/11/20 16:15,0.01333333,0.7999998,0,56.00,#N/A,#N/A,#N/A
3/11/20 15:20,3/11/20 16:20,0.01833333,1.0999998,0,61.50,#N/A,#N/A,#N/A
3/11/20 15:25,3/11/20 16:25,0.02166667,1.3000002,0,68.00,#N/A,#N/A,#N/A
3/11/20 15:30,3/11/20 16:30,0.02166667,1.3000002,0,74.50,#N/A,#N/A,#N/A
3/11/20 15:35,3/11/20 16:35,0.02,1.2,0,80.50,#N/A,#N/A,#N/A
3/11/20 15:40,3/11/20 16:40,0.01833333,1.0999998,0,86.00,#N/A,#N/A,#N/A
3/11/20 15:45,3/11/20 16:45,0.015,0.9,0,90.50,#N/A,#N/A,#N/A
3/11/20 15:50,3/11/20 16:50,0.015,0.9,0,95.00,#N/A,#N/A,#N/A
3/11/20 15:55,3/11/20 16:55,0.01833333,1.0999998,0,100.50,#N/A,#N/A,#N/A
3/11/20 16:00,3/11/20 17:00,0.025,1.5,0,108.00,#N/A,#N/A,#N/A
3/11/20 16:05,3/11/20 17:05,0.03,1.8,0,117.00,#N/A,#N/A,#N/A
3/11/20 16:10,3/11/20 17:10,0.03,1.8,0,126.00,#N/A,#N/A,#N/A
