Date/Time,Actual time (daylight savings adj),Q_402_litsec_Avg,Q (l/min),Sample_Count(402),Total Volume (L),sample point,Sample number,Vol 
5/19/20 12:55,5/19/20 13:55,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:00,5/19/20 14:00,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:05,5/19/20 14:05,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:10,5/19/20 14:10,0,0,0,0,#N/A,#N/A,#N/A
5/19/20 13:15,5/19/20 14:15,0,0,0,0.5000001,#N/A,#N/A,#N/A
5/19/20 13:20,5/19/20 14:20,0,0,0,0.5000001,#N/A,#N/A,#N/A
5/19/20 13:25,5/19/20 14:25,0,0,0,0.5000001,#N/A,#N/A,#N/A
5/19/20 13:30,5/19/20 14:30,0.001666667,0.10000002,0,1.5,#N/A,#N/A,#N/A
5/19/20 13:35,5/19/20 14:35,0,0,0,3,#N/A,#N/A,#N/A
5/19/20 13:40,5/19/20 14:40,0,0,0,6.999999,#N/A,#N/A,#N/A
5/19/20 13:45,5/19/20 14:45,0.003333333,0.19999998,0,14.499999,#N/A,#N/A,#N/A
5/19/20 13:50,5/19/20 14:50,0.005,0.3,0,22.999998,#N/A,#N/A,#N/A
5/19/20 13:55,5/19/20 14:55,0.01333333,0.7999998,0,30.499998,#N/A,#N/A,#N/A
5/19/20 14:00,5/19/20 15:00,0.025,1.5,0,37.499997,#N/A,#N/A,#N/A
5/19/20 14:05,5/19/20 15:05,0.02833333,1.6999998,0,43.499997,#N/A,#N/A,#N/A
5/19/20 14:10,5/19/20 15:10,0.025,1.5,0,49.499997,#N/A,#N/A,#N/A
5/19/20 14:15,5/19/20 15:15,0.02333333,1.3999998,0,58.999998,1.3999998,1,58.999998
5/19/20 14:20,5/19/20 15:20,0.02,1.2,1,71.499999,#N/A,#N/A,#N/A
5/19/20 14:25,5/19/20 15:25,0.02,1.2,1,86.499999,#N/A,#N/A,#N/A
5/19/20 14:30,5/19/20 15:30,0.03166667,1.9000002,1,103.999998,#N/A,#N/A,#N/A
5/19/20 14:35,5/19/20 15:35,0.04166667,2.5000002,1,120.999996,2.5000002,2,120.999996
5/19/20 14:40,5/19/20 15:40,0.05,3,2,135.499995,#N/A,#N/A,#N/A
5/19/20 14:45,5/19/20 15:45,0.05833333,3.4999998,2,147.499995,3.4999998,3,147.499995
5/19/20 14:50,5/19/20 15:50,0.05666666,3.3999996,3,162.499995,#N/A,#N/A,#N/A
5/19/20 14:55,5/19/20 15:55,0.04833333,2.8999998,3,181.499994,#N/A,#N/A,#N/A
5/19/20 15:00,5/19/20 16:00,0.04,2.4,3,201.999996,2.4000000,4,201.999996
