Date/Time,Actual time (daylight savings adj),Q_404_litsec_Avg,Q l/min,Sample_Count(404),total volume,sample point,Sample number,volume,
5/19/20 11:55,5/19/20 12:55,0,0,0,0,#N/A,#N/A,#N/A,
5/19/20 12:00,5/19/20 13:00,0.001666667,0.10000002,0,0.5000001,#N/A,#N/A,#N/A,
5/19/20 12:05,5/19/20 13:05,0,0,0,0.5000001,#N/A,#N/A,#N/A,
5/19/20 12:10,5/19/20 13:10,0,0,0,0.5000001,#N/A,#N/A,#N/A,
5/19/20 12:15,5/19/20 13:15,0.001666667,0.10000002,0,1.0000002,#N/A,#N/A,#N/A,
5/19/20 12:20,5/19/20 13:20,0,0,0,1.0000002,#N/A,#N/A,#N/A,
5/19/20 12:25,5/19/20 13:25,0.001666667,0.10000002,0,1.5000003,#N/A,#N/A,#N/A,
5/19/20 12:30,5/19/20 13:30,0,0,0,1.5000003,#N/A,#N/A,#N/A,
5/19/20 12:35,5/19/20 13:35,0,0,0,1.5000003,#N/A,#N/A,#N/A,
5/19/20 12:40,5/19/20 13:40,0,0,0,1.5000003,#N/A,#N/A,#N/A,
5/19/20 12:45,5/19/20 13:45,0,0,0,1.5000003,#N/A,#N/A,#N/A,
5/19/20 12:50,5/19/20 13:50,0.001666667,0.10000002,0,2.0000004,#N/A,#N/A,#N/A,
5/19/20 12:55,5/19/20 13:55,0,0,0,2.0000004,#N/A,#N/A,#N/A,
5/19/20 13:00,5/19/20 14:00,0,0,0,2.0000004,#N/A,#N/A,#N/A,
5/19/20 13:05,5/19/20 14:05,0,0,0,2.0000004,#N/A,#N/A,#N/A,
5/19/20 13:10,5/19/20 14:10,0,0,0,2.0000004,#N/A,#N/A,#N/A,
5/19/20 13:15,5/19/20 14:15,0.001666667,0.10000002,0,2.5000005,#N/A,#N/A,#N/A,
5/19/20 13:20,5/19/20 14:20,0.006666667,0.40000002,0,4.5000006,#N/A,#N/A,#N/A,
5/19/20 13:25,5/19/20 14:25,0.008333334,0.50000004,0,7.0000008,#N/A,#N/A,#N/A,
5/19/20 13:30,5/19/20 14:30,0.01,0.6,0,10.0000008,#N/A,#N/A,#N/A,
5/19/20 13:35,5/19/20 14:35,0.008333334,0.50000004,0,12.500001,#N/A,#N/A,#N/A,
5/19/20 13:40,5/19/20 14:40,0.006666667,0.40000002,0,14.5000011,#N/A,#N/A,#N/A,
5/19/20 13:45,5/19/20 14:45,0.006666667,0.40000002,0,16.5000012,#N/A,#N/A,#N/A,
5/19/20 13:50,5/19/20 14:50,0.01166667,0.7000002,0,20.0000022,#N/A,#N/A,#N/A,
5/19/20 13:55,5/19/20 14:55,0.02333333,1.3999998,0,27.0000012,#N/A,#N/A,#N/A,
5/19/20 14:00,5/19/20 15:00,0.03833333,2.2999998,0,38.5000002,2.30,1,38.5000002,
5/19/20 14:05,5/19/20 15:05,0.03833333,2.2999998,1,49.9999992,#N/A,#N/A,#N/A,
5/19/20 14:10,5/19/20 15:10,0.03333334,2.0000004,1,60.0000012,#N/A,#N/A,#N/A,
5/19/20 14:15,5/19/20 15:15,0.025,1.5,1,67.5000012,#N/A,#N/A,#N/A,
5/19/20 14:20,5/19/20 15:20,0.02333333,1.3999998,1,74.5000002,#N/A,#N/A,#N/A,
5/19/20 14:25,5/19/20 15:25,0.02333333,1.3999998,1,81.4999992,1.40,2,81.4999992,
5/19/20 14:30,5/19/20 15:30,0.04333333,2.5999998,2,94.4999982,#N/A,#N/A,#N/A,
5/19/20 14:35,5/19/20 15:35,0.07333333,4.3999998,2,116.4999972,4.40,3,116.4999972,
5/19/20 14:40,5/19/20 15:40,0.08166666,4.8999996,3,140.9999952,#N/A,#N/A,#N/A,
5/19/20 14:45,5/19/20 15:45,0.08333334,5.0000004,3,165.9999972,5.00,4,165.9999972,
5/19/20 14:50,5/19/20 15:50,0.06833334,4.1000004,4,186.4999992,#N/A,#N/A,#N/A,
5/19/20 14:55,5/19/20 15:55,0.04666667,2.8000002,4,200.5000002,#N/A,#N/A,#N/A,
5/19/20 15:00,5/19/20 16:00,0.03833333,2.2999998,4,211.9999992,#N/A,#N/A,#N/A,
5/19/20 15:05,5/19/20 16:05,0.05666666,3.3999996,4,228.9999972,3.40,5,228.9999972,
5/19/20 15:10,5/19/20 16:10,0.085,5.1,5,254.4999972,5.10,6,254.4999972,
5/19/20 15:15,5/19/20 16:15,0.09166667,5.5000002,6,281.9999982,#N/A,#N/A,#N/A,
5/19/20 15:20,5/19/20 16:20,0.09333333,5.5999998,6,309.9999972,5.60,7,309.9999972,
5/19/20 15:25,5/19/20 16:25,0.09333333,5.5999998,7,337.9999962,#N/A,#N/A,#N/A,
5/19/20 15:30,5/19/20 16:30,0.09666666,5.7999996,7,366.9999942,5.80,8,366.9999942,
5/19/20 15:35,5/19/20 16:35,0.09166667,5.5000002,8,394.4999952,5.50,9,394.4999952,
