Date/Time,Actual time (daylight savings adj),Q_IN_litsec_Avg,q l/min,Sample_Count(INF),tot volume (L),sample point,sample number,volume,
5/19/20 12:55,5/19/20 13:55,0,0,0,0,#N/A,#N/A,#N/A,
5/19/20 13:00,5/19/20 14:00,0,0,0,0,#N/A,#N/A,#N/A,
5/19/20 13:05,5/19/20 14:05,0.008333334,0.50000004,0,2.5000002,#N/A,#N/A,#N/A,
5/19/20 13:10,5/19/20 14:10,0.02666667,1.6000002,0,10.5000012,#N/A,#N/A,#N/A,
5/19/20 13:15,5/19/20 14:15,0.02833333,1.6999998,0,19.0000002,#N/A,#N/A,#N/A,
5/19/20 13:20,5/19/20 14:20,0.01333333,0.7999998,0,22.9999992,#N/A,#N/A,#N/A,
5/19/20 13:25,5/19/20 14:25,0.001666667,0.10000002,0,23.4999993,#N/A,#N/A,#N/A,
5/19/20 13:30,5/19/20 14:30,0,0,0,23.4999993,#N/A,#N/A,#N/A,
5/19/20 13:35,5/19/20 14:35,0,0,0,23.4999993,#N/A,#N/A,#N/A,
5/19/20 13:40,5/19/20 14:40,0.01833333,1.0999998,0,28.9999983,#N/A,#N/A,#N/A,
5/19/20 13:45,5/19/20 14:45,0.08166666,4.8999996,0,53.4999963,#N/A,#N/A,#N/A,
5/19/20 13:50,5/19/20 14:50,0.08166666,4.8999996,0,77.9999943,#N/A,#N/A,#N/A,
5/19/20 13:55,5/19/20 14:55,0.09166667,5.5000002,0,105.4999953,5.50,1,105.4999953,
5/19/20 14:00,5/19/20 15:00,0.06166667,3.7000002,1,123.9999963,#N/A,#N/A,#N/A,
5/19/20 14:05,5/19/20 15:05,0.006666667,0.40000002,1,125.9999964,#N/A,#N/A,#N/A,
5/19/20 14:10,5/19/20 15:10,0.001666667,0.10000002,1,126.4999965,#N/A,#N/A,#N/A,
5/19/20 14:15,5/19/20 15:15,0.001666667,0.10000002,1,126.9999966,#N/A,#N/A,#N/A,
5/19/20 14:20,5/19/20 15:20,0.02166667,1.3000002,1,133.4999976,#N/A,#N/A,#N/A,
5/19/20 14:25,5/19/20 15:25,0.1066667,6.400002,1,165.5000076,6.40,2,165.5000076,
5/19/20 14:30,5/19/20 15:30,0.1066667,6.400002,2,197.5000176,#N/A,#N/A,#N/A,
5/19/20 14:35,5/19/20 15:35,0.1033333,6.199998,2,228.5000076,6.20,3,228.5000076,
5/19/20 14:40,5/19/20 15:40,0.105,6.3,3,260.0000076,#N/A,#N/A,#N/A,
5/19/20 14:45,5/19/20 15:45,0.08833333,5.2999998,3,286.5000066,#N/A,#N/A,#N/A,
5/19/20 14:50,5/19/20 15:50,0.01333333,0.7999998,3,290.5000056,#N/A,#N/A,#N/A,
